area;mh;ind;bird_feaces;mammal_feaces;bird_seeds;mammal_seeds;total_seeds;sampled_area_m2;density_raw;seed_density_m2;focal_point;x;y;random_drop
SABCOL;FF;C_FF_A;24;0;48;0;48;0.1665;288.2882883;288;YES;-6.506511;37.000221;no
SABCOL;FF;C_FF_B;33;1;66;25;91;0.24;379.1666667;379;NO;-6.506633;37.00042;no
SABCOL;FF;C_FF_C;30;0;60;0;60;0.2597;231.0358106;231;NO;-6.506384;36.999932;no
SABCOL;FF;C_FF_D;10;0;20;0;20;0.184;108.6956522;109;YES;-6.506451;37.000311;no
SABCOL;FF;C_FF_E;16;0;32;0;32;0.216;148.1481481;148;NO;-6.507189;37.000825;no
SABCOL;FF;C_FF_F;14;0;28;0;28;0.12;233.3333333;233;NO;-6.507197;37.000783;no
SABCOL;FF;C_FF_G;8;0;16;0;16;0.18;88.88888889;89;YES;-6.507248;37.000738;no
SABCOL;FF;C_FF_H;8;0;16;0;16;0.16;100;100;NO;-6.507167;37.000765;no
SABCOL;FF;C_FF_I;11;0;22;0;22;0.24;91.66666667;92;YES;-6.505658;37.000049;no
SABCOL;FF;C_FF_J;17;0;34;0;34;0.2184;155.6776557;156;NO;-6.50665;37.000388;no
SABCOL;FF;C_FF_K;3;0;6;0;6;0.22;27.27272727;27;NO;-6.507505;36.999814;no
SABCOL;FF;C_FF_L;2;0;4;0;4;0.182;21.97802198;22;NO;-6.507501;36.99983;no
SABCOL;FF;C_FF_M;0;0;0;0;0;0.14;0;0;NO;-6.507446;36.999877;no
SABCOL;FF;C_FF_N;4;0;8;0;8;0.1728;46.2962963;46;NO;-6.507433;36.999888;no
SABCOL;FF;C_FF_O;2;0;4;0;4;0.234;17.09401709;17;NO;-6.507424;36.999962;no
SABCOL;NF;C_NF_A;57;0;114;0;114;0.2128;535.7142857;536;NO;-6.506354;37.000409;no
SABCOL;NF;C_NF_B;33;0;66;0;66;0.3053;216.1808058;216;NO;-6.506352;37.000728;no
SABCOL;NF;C_NF_C;19;0;38;0;38;0.215;176.744186;177;NO;-6.506488;37.000198;no
SABCOL;NF;C_NF_D;39;0;78;0;78;0.252;309.5238095;310;NO;-6.506304;37.000574;no
SABCOL;NF;C_NF_E;6;0;12;0;12;0.252;47.61904762;48;NO;-6.50671;37.000665;no
SABCOL;NF;C_NF_F;25;0;50;0;50;0.2475;202.020202;202;YES;-6.50656;37.000753;no
SABCOL;NF;C_NF_G;12;0;24;0;24;0.2816;85.22727273;85;YES;-6.506018;37.000567;no
SABCOL;NF;C_NF_H;4;0;8;0;8;0.235;34.04255319;34;NO;-6.506201;37.000264;no
SABCOL;NF;C_NF_I;11;0;22;0;22;0.2835;77.60141093;78;NO;-6.506323;37.000224;no
SABCOL;NF;C_NF_J;16;0;32;0;32;0.2795;114.490161;114;YES;-6.50632;37.000138;no
SABCOL;NF;C_NF_K;11;0;22;0;22;0.2145;102.5641026;103;YES;-6.506605;36.999931;no
SABCOL;NF;C_NF_L;11;0;22;0;22;0.2565;85.76998051;86;NO;-6.50667;37.000003;no
SABCOL;NF;C_NF_M;8;0;16;0;16;0.2904;55.09641873;55;NO;-6.50662;37.000161;no
SABCOL;NF;C_NF_N;5;0;10;0;10;0.21;47.61904762;48;NO;-6.506809;37.000374;no
SABCOL;NF;C_NF_O;0;0;0;0;0;0.2226;0;0;NO;-6.506627;37.000611;no
SABCOL;PP;C_PP_A;14;0;28;0;28;0.2808;99.71509972;100;NO;-6.506221;37.000325;no
SABCOL;PP;C_PP_B;61;0;122;0;122;0.248;491.9354839;492;NO;-6.506269;37.000138;no
SABCOL;PP;C_PP_C;20;0;40;0;40;0.2332;171.5265866;172;YES;-6.506974;37.000216;no
SABCOL;PP;C_PP_D;9;0;18;0;18;0.243;74.07407407;74;NO;-6.506326;37.001037;no
SABCOL;PP;C_PP_E;8;1;16;25;41;0.1944;210.9053498;211;YES;-6.506768;36.999826;no
SABCOL;PP;C_PP_F;6;0;12;0;12;0.2;60;60;NO;-6.506898;36.999943;no
SABCOL;PP;C_PP_G;25;0;50;0;50;0.208;240.3846154;240;NO;-6.506898;37.000011;no
SABCOL;PP;C_PP_H;28;1;56;25;81;0.22;368.1818182;368;NO;-6.506333;36.999768;no
SABCOL;PP;C_PP_I;24;1;48;25;73;0.22;331.8181818;332;YES;-6.506249;37.000377;no
SABCOL;PP;C_PP_J;65;1;130;25;155;0.25;620;620;NO;-6.506232;37.000088;no
SABCOL;PP;C_PP_K;21;1;42;25;67;0.215;311.627907;312;NO;-6.506271;37.00005;no
SABCOL;PP;C_PP_L;29;0;58;0;58;0.315;184.1269841;184;YES;-6.506328703;37.00130661;no
SABCOL;PP;C_PP_M;15;0;30;0;30;0.24;125;125;NO;-6.506422;37.001359;no
SABCOL;PP;C_PP_N;14;0;28;0;28;0.24;116.6666667;117;NO;-6.506476;37.001403;no
SABCOL;PP;C_PP_O;13;0;26;0;26;0.2436;106.7323481;107;NO;-6.50643;37.001459;no
SABCOL;JP;C002;43;0;86;0;86;0.5;172;172;NO;-6.506057213;37.00080117;no
SABCOL;JP;C014;38;1;76;25;101;0.5;202;202;YES;-6.506553396;37.00068699;no
SABCOL;JP;C017;17;0;34;0;34;0.54;62.96296296;63;NO;-6.506706548;37.00083022;no
SABCOL;JP;C018;11;1;22;25;47;0.51;92.15686275;92;NO;-6.506699238;37.00077985;no
SABCOL;JP;C024;18;1;36;25;61;0.5336;114.3178411;114;NO;-6.506885148;37.00083003;yes
SABCOL;JP;C050;24;1;48;25;73;0.4984;146.4686998;146;NO;-6.506410761;37.0006039;no
SABCOL;JP;C054;36;0;72;0;72;0.5804;124.0523777;124;NO;-6.506342727;37.00066156;no
SABCOL;JP;C055;40;0;80;0;80;0.562;142.3487544;142;NO;-6.506320516;37.00063823;yes
SABCOL;JP;C056;18;1;36;25;61;0.5;122;122;NO;-6.50624256;37.00059509;yes
SABCOL;JP;C057;82;0;164;0;164;0.5144;318.8180404;319;NO;-6.506111587;37.00070026;no
SABCOL;JP;C065;50;0;100;0;100;0.5144;194.4012442;194;NO;-6.505945626;37.00037576;yes
SABCOL;JP;C075;23;0;46;0;46;0.264;174.2424242;174;YES;-6.506160102;37.000325;no
SABCOL;JP;C083;18;0;36;0;36;0.4776;75.37688442;75;NO;-6.506005453;36.99998575;no
SABCOL;JP;C086;33;0;66;0;66;0.47;140.4255319;140;NO;-6.506151174;37.00009711;yes
SABCOL;JP;C106;45;0;90;0;90;0.47;191.4893617;191;NO;-6.506351878;37.00015037;yes
SABCOL;JP;C107;26;0;52;0;52;0.45;115.5555556;116;NO;-6.50641414;37.00018144;yes
SABCOL;JP;C111;22;0;44;0;44;0.4264;103.1894934;103;YES;-6.506594444;37.000125;no
SABCOL;JP;C119;24;1;48;25;73;0.5216;139.9539877;140;NO;-6.506659819;37.00014907;yes
SABCOL;JP;C121;6;0;12;0;12;0.508;23.62204724;24;NO;-6.50671187;37.00009854;yes
SABCOL;JP;C126;43;1;86;25;111;0.2684;413.561848;414;NO;-6.506777342;37.00004144;yes
SABCOL;JP;C131;68;1;136;25;161;0.4909;327.9690365;328;NO;-6.506834566;37.00005819;yes
SABCOL;JP;C140;37;1;74;25;99;0.5336;185.5322339;186;NO;-6.506762125;37.00012249;yes
SABCOL;JP;C141;35;0;70;0;70;0.5224;133.9969372;134;NO;-6.506793;37.00015233;yes
SABCOL;JP;C150;38;0;76;0;76;0.5368;141.5797317;142;NO;-6.506752697;37.00025265;no
SABCOL;JP;C153;46;0;92;0;92;0.5368;171.3859911;171;NO;-6.506813628;37.00032634;yes
SABCOL;JP;C162;24;0;48;0;48;0.3684;130.2931596;130;YES;-6.506334997;37.00031259;no
SABCOL;JP;C165;51;0;102;0;102;0.508;200.7874016;201;NO;-6.506366097;37.00045326;yes
SABCOL;JP;C168;53;1;106;25;131;0.5144;254.6656299;255;NO;-6.506552191;37.00047693;yes
SABCOL;JP;C172;19;0;38;0;38;0.5512;68.94049347;69;NO;-6.506691357;37.00046095;no
