sampled;knownPopulation;FAM01_DFAGA;FAM01_DFAGAb;FAM03_022206;FAM03_022206b;FAM06_84596;FAM06_84596b;NED07_DCRW4;NED07_DCRW4b;NED08_033740;NED08_033740b;NED09_ESGND;NED09_ESGNDb;VIC12_DMX65;VIC12_DMX65b;VIC13_015521;VIC13_015521b;VIC14_127300;VIC14_127300b;PET15_DLXB1;PET15_DLXB1b;PET16_064797;PET16_064797b;PET17_58859;PET17_58859b
01_Jp_End_001A_P01;1;91;93;169;169;259;259;95;99;133;135;154;161;128;144;0;0;231;246;136;140;209;213;244;246
02_Jp_End_002A_P01;2;91;93;169;169;0;0;95;97;133;135;0;0;122;144;0;0;231;231;136;140;209;213;236;244
03_Jp_End_003A_P01;3;93;95;169;171;236;259;97;97;133;135;154;163;108;142;0;0;231;246;136;140;209;213;236;238
04_Jp_End_004A_P01;3;91;95;169;171;259;271;95;97;135;135;154;161;108;139;0;0;231;236;136;140;213;213;236;244
05_Jp_End_005A_P01;3;93;93;169;169;236;259;97;97;133;135;159;163;128;133;0;0;227;246;136;140;209;213;236;244
06_Jp_End_005B_P01;3;93;93;169;169;236;259;97;97;133;135;159;163;128;133;0;0;227;246;136;140;209;213;236;244
07_Jp_End_005C_P01;3;93;93;169;169;236;259;97;97;133;135;159;163;128;133;0;0;227;246;136;140;209;213;236;244
08_Jp_End_006A_P01;3;91;95;169;169;259;269;97;97;133;135;154;161;122;128;187;197;231;246;136;140;209;209;238;238
09_Jp_End_007A_P01;3;95;95;169;171;259;259;97;97;133;135;163;163;128;139;171;187;231;231;140;140;205;213;238;244
10_Jp_End_008A_P01;3;91;95;169;169;259;271;95;99;133;133;161;161;128;156;171;199;231;231;138;140;209;209;238;244
11_Jp_End_008B_P01;3;93;95;169;169;259;277;95;99;133;135;161;163;108;144;171;197;236;236;136;140;207;209;238;238
12_Jp_End_009A_P01;3;93;95;169;169;0;0;97;97;133;135;161;161;108;142;0;0;231;246;136;140;207;213;236;238
13_Jp_End_010A_P01;3;91;91;169;169;261;283;95;97;133;133;161;163;108;128;171;197;227;231;136;140;209;213;238;238
14_Jp_End_011A_P01;3;93;95;169;169;245;273;97;97;133;135;161;161;126;142;0;0;0;0;136;140;207;213;238;238
15_Jp_End_012A_P01;3;91;95;169;169;245;259;95;97;135;135;154;161;124;128;191;193;231;246;136;138;213;213;236;244
16_Jp_End_012B_P01;3;91;95;169;169;245;259;95;97;135;135;154;161;124;128;191;193;231;246;136;138;213;213;236;244
17_Jp_End_013A_P01;3;91;91;169;169;236;245;97;97;135;135;0;0;124;128;171;185;231;236;136;138;209;209;236;244
18_Jp_End_014A_P01;3;91;91;169;169;259;259;99;99;133;135;154;154;122;144;171;197;231;231;136;138;203;213;242;244
19_Jp_End_015A_P01;3;91;95;169;169;236;259;97;99;135;135;154;161;108;128;171;197;231;246;136;138;209;213;236;238
