"","ind","mh","area","uPMI","alpha","n_seeds_total","n_mothers","mean_relatedness","Remaining species","Erithacus rubecula","Turdus philomelos","Turdus merula","Vulpes vulpes"
"1","C_FF_A","FF","SABCOL",0.0666666666666667,15,15,11,0.0937875726380952,1,12,2,0,0
"2","C_FF_D","FF","SABCOL",0.285714285714286,3.5,7,4,0.417458834333333,0,2,5,0,0
"3","C_FF_G","FF","SABCOL",0,Inf,4,4,-0.0798434118333333,0,2,2,0,0
"4","C_FF_I","FF","SABCOL",0,Inf,5,5,0.1145978459,0,1,4,0,0
"5","C_NF_F","NF","SABCOL",0.116666666666667,8.57142857142857,16,9,0.476530378516667,0,0,11,5,0
"6","C_NF_G","NF","SABCOL",0.0346320346320346,28.875,22,16,0.0663041331428571,0,0,22,0,0
"7","C_NF_J","NF","SABCOL",0.0363636363636364,27.5,11,9,0.0398114585272727,0,0,11,0,0
"8","C_NF_K","NF","SABCOL",0.0666666666666667,15,10,8,0.335692436244444,0,0,10,0,0
"9","C_PP_C","PP","SABCOL",0.0366666666666667,27.2727272727273,25,16,0.0985346197,0,2,23,0,0
"10","C_PP_E","PP","SABCOL",0.0363636363636364,27.5,11,9,0.120638783763636,0,6,0,0,5
"11","C_PP_I","PP","SABCOL",0.110526315789474,9.04761904761905,20,14,0.366792861694737,2,5,11,0,2
"12","C_PP_L","PP","SABCOL",0.0172413793103448,58,29,22,0.0402900979778325,0,1,25,3,0
"13","C014","JP","SABCOL",0.0920634920634921,10.8620689655172,36,20,0.275204633419048,3,3,21,9,0
"14","C075","JP","SABCOL",0.0784313725490196,12.75,18,12,0.0419014044313725,0,2,16,0,0
"15","C111","JP","SABCOL",0.0968660968660969,10.3235294117647,27,13,0.0988418096923077,1,3,23,0,0
"16","C162","JP","SABCOL",0.0181818181818182,55,11,10,0.123252665363636,1,0,10,0,0
"17","CT1M13","OA","SABCOL",1,1,2,1,1,0,0,2,0,0
"18","CT1M23","OA","SABCOL",0.333333333333333,3,3,2,0.885896285333333,0,0,3,0,0
"19","CT1M27","OA","SABCOL",1,1,2,1,1,0,0,2,0,0
