ind; Identification name for deposition site.;;;;;;;;;;;;;;;
mh;"Microhabitat type. OA = Open Area; FF = Fleshy-fruited species; NF = Non-Fleshy-fruited species; PP = Pinus pinnea; JP = Juniperus phoenicea";;;;;;;;;;;;;;;
area;"Juniper forest stand:  SABMAR = MATURE; SABOJI = INTERMEDIATE; SABCOL = COLONIZATION";;;;;;;;;;;;;;;
uPMI;Unbiased maternal probability identity: (_the probability of drawing two seeds, both from the deposition site, from the same maternal source). ;;;;;;;;;;;;;;;
alpha;Is uPMI elevated to -1;;;;;;;;;;;;;;;
n_seeds_total;The number of seeds collected at that deposition site. ;;;;;;;;;;;;;;;
n_mothers;The number of different mothers identified on that deposition site. ;;;;;;;;;;;;;;;
mean_relatedness;The average value of relatedness among all seeds detected at that deposition site. Following Queller and Goodnight (1989) in GenAlex;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
ind;mh;area;uPMI;alpha;n_seeds_total;n_mothers;mean_relatedness;;;;;;;;;
CT1M13;OA;SABCOL;1;1;2;1;1;;;;;;;;;
CT1M27;OA;SABCOL;1;1;2;1;1;;;;;;;;;
CT2M14;OA;SABCOL;1;1;2;1;1;;;;;;;;;
CT3M33;OA;SABCOL;0;Inf;2;2;-0.126169547;;;;;;;;;
M_FF_K;FF;SABMAR;0;Inf;2;2;-0.069903992;;;;;;;;;
MT7M10;OA;SABMAR;1;1;2;1;1;;;;;;;;;
MT8M46;OA;SABMAR;0;Inf;2;2;0.85195905;;;;;;;;;
O_FF_O;FF;SABOJI;0;Inf;2;2;-0.354714423;;;;;;;;;
OT14M16;OA;SABOJI;0;Inf;2;2;0.881516218;;;;;;;;;
OT14M20;OA;SABOJI;0;Inf;2;2;0.083551951;;;;;;;;;
OT14M21;OA;SABOJI;1;1;2;1;1;;;;;;;;;
OT14M9;OA;SABOJI;0;Inf;2;2;0.712454498;;;;;;;;;
OT15M1;OA;SABOJI;0;Inf;2;2;0.789564848;;;;;;;;;
OT15M16;OA;SABOJI;0;Inf;2;2;0.77538836;;;;;;;;;
OT15M22;OA;SABOJI;1;1;2;1;1;;;;;;;;;
CT1M23;OA;SABCOL;0.333333333;3;3;2;0.885896285;;;;;;;;;
CT3M22;OA;SABCOL;1;1;3;1;1;;;;;;;;;
CT3M24;OA;SABCOL;0;Inf;3;3;0.676591257;;;;;;;;;
CT3M27;OA;SABCOL;0.333333333;3;3;2;0.863545795;;;;;;;;;
CT3M28;OA;SABCOL;0.333333333;3;3;2;0.424981403;;;;;;;;;
CT3M47;OA;SABCOL;0.333333333;3;3;2;0.332561174;;;;;;;;;
MT5M23;OA;SABMAR;0;Inf;3;3;0.547446499;;;;;;;;;
MT5M24;OA;SABMAR;0.333333333;3;3;2;0.873834769;;;;;;;;;
OT14M11;OA;SABOJI;0;Inf;3;3;0.281185473;;;;;;;;;
OT14M4;OA;SABOJI;0.333333333;3;3;2;0.918338378;;;;;;;;;
